matrix_size,tile_size,instructions,l1d_misses,speedup
256,8,795831905,148375,0.97
256,16,801341046,177831,1.12
256,32,801006853,185892,1.71
256,64,800851239,192288,2.06
256,128,800547787,179346,1.13
256,256,800861814,179538,1.88
256,512,708440565,115135,0.75
256,1024,815162936,136165,1.58
512,8,3224421280,790687,0.90
512,16,3195858709,683404,1.18
512,32,3304107025,669567,1.18
512,64,3357143246,602726,1.13
512,128,3192847072,660897,1.05
512,256,3337112483,558143,1.30
512,512,3325743851,559617,1.09
512,1024,3341985278,538359,1.10
752,8,7062952250,1687778,0.95
752,16,6889998817,1509819,1.17
752,32,7087243716,1347202,1.08
752,64,7053568304,1364069,1.07
752,128,7053919056,1456117,1.08
752,256,6883685744,1374998,1.05
752,512,6883712372,1374787,0.94
752,1024,7012959395,1382124,1.02
1024,8,12887104765,4366705,0.94
1024,16,12773074853,4037735,1.14
1024,32,12765158416,3986679,1.17
1024,64,12762197089,4591057,1.12
1024,128,12760601980,4661347,1.04
1024,256,12759708144,4422353,1.10
1024,512,12997952441,4435639,1.01
1024,1024,12759062994,4718316,0.99
1256,8,19734150107,9776359,0.87
1256,16,19217049675,9053283,1.12
1256,32,19203692043,8670137,1.17
1256,64,19196899066,8882313,1.12
1256,128,19279378344,9118095,1.08
1256,256,19192992374,8590517,1.04
1256,512,19494044970,8256546,1.01
1256,1024,19596263090,10151710,0.95
1504,8,27793549201,19141787,0.88
1504,16,27935728375,18297355,1.15
1504,32,27531901611,18156524,1.09
1504,64,27934070829,18179985,1.13
1504,128,27519866569,18515893,1.00
1504,256,27517467250,17826011,1.04
1504,512,27519569195,17931888,1.00
1504,1024,28017908471,18933937,1.06
1752,8,37715464061,26094040,0.94
1752,16,37915736618,25158904,1.14
1752,32,37364590731,24738096,1.14
1752,64,37861866024,25483269,1.13
1752,128,37345551695,25070766,1.03
1752,256,37349086927,24537648,1.03
1752,512,37807991180,24313155,0.94
1752,1024,37342486981,26235952,1.00
2048,8,51892244560,35335283,0.92
2048,16,51086743542,33846586,1.16
2048,32,51702902475,34217971,1.16
2048,64,51177787656,36274646,1.03
2048,128,51033119440,35949648,1.11
2048,256,51268407009,35472394,1.02
2048,512,51159615863,35474901,0.99
2048,1024,51023262619,35686295,1.00
